RSST_Accruals,recch,invch,Soft_Assets,Change_Cash_Sales,Delta_ROA,Issued,Misstated
0.013035321,0.05285332,0.061787185,-1.133521637,-0.21395592,0.005402625,1,FALSE
0.00973854,0.055893757,0.062592026,-1.021892777,-0.214124551,0.004130565,0,FALSE
0.008457088,0.052219471,0.062383714,-0.803323692,-0.213881334,0.004579141,1,FALSE
0.010929564,0.056117468,0.063136477,-0.859384649,-0.213835714,0.004680499,1,FALSE
0.017792409,-2.583500769,-0.251778753,0.078298102,1.774492831905795,0.004684937,1,FALSE
0.007745396,2.110704034787553,-0.096018405,-0.063650334,1.5246870414613705,0.004499416,1,FALSE
0.019018935,1.8958057861184083,1.1069817272430804,0.039332013,1.1484938949775407,0.005205728,1,FALSE
0.013612622,-0.747374881,0.063055993,-0.180138042,1.105136777207094,0.004210856,1,FALSE
0.013082256,-0.856857743,0.2268647473621929,-0.330667948,1.055398288240788,0.004758947,1,FALSE
0.003072648,0.090270698,0.086737247,1.2679893948242618,-0.158135124,0.00439595,1,FALSE
0.002741505,0.040376341,0.050789273,0.134065526,-0.206880925,0.004743808,1,FALSE
0.011917224,-0.003403246,-0.018142966,0.6414509555241693,-0.18210283,0.004987151,1,FALSE
0.007547996,0.088769122,0.083678852,0.5410437149428677,-0.18329058,0.004586056,0,FALSE
0.021248719,0.053053304,0.062582557,1.673520509,-0.213515017,0.004876584,0,FALSE
0.021814227,0.049531549,0.062582557,1.706255024203226,-0.213095475,0.004637435,0,FALSE
0.025934045,0.056764874,0.062582557,1.7050330103624949,-0.213014916,0.004816198,0,FALSE
0.023384655,0.059069777,0.062582557,-1.651209378,-0.212988938,0.006701887,0,FALSE
0.032172153,0.026241866,0.05689186,0.7796837878299081,-0.204200116,0.005025476,1,FALSE
0.015085371,0.062354263,0.043673535,0.6778163447254812,-0.202488912,0.004724521,1,FALSE
0.001853151,0.1143060837757636,0.050543087,0.517342761,-0.205618681,0.004311817,1,FALSE
0.004015124,0.080586718,0.069632015,0.5222727812913569,-0.207024664,0.005037496,1,FALSE
-0.023883291,0.062198343,0.067335851,-1.358495531,-0.210179596,0.005263632,1,FALSE
0.017162681,0.061127241,0.070001294,-1.183662454,-0.213182371,0.003479952,1,FALSE
-0.002677732,0.056520826,0.066104919,-1.021390404,-0.214040824,0.003541499,1,FALSE
-0.008493107,0.055849693,0.068770362,-1.37581643,-0.214042905,0.004887038,1,FALSE
0.046743664,0.052368612,0.050486275,-1.130493108,-0.213853275,0.004331941,1,FALSE
-0.053749155,0.041281354,0.025730321,-1.19770367,-0.21305601,0.005562149,1,FALSE
-0.017847544,0.055598865,0.093824579,-1.057554772,-0.212672766,0.003727012,1,FALSE
0.009506477,0.062194953,0.060935001,-0.114914482,-0.203179187,0.004705452,0,FALSE
0.007984724,0.051321237,0.064069145,0.020845962,-0.203181721,0.004573644,0,FALSE
0.0133645,0.056158143,0.057100171,0.1978849069872964,-0.204330368,0.004894876,0,FALSE
0.007992447,0.063140641,0.067350054,0.2086076087950413,-0.205739791,0.004530966,0,FALSE
0.002864713,0.063913461,0.057833997,0.2482098433430656,-0.206569731,0.004544547,0,FALSE
0.002335632,0.049999308,0.060011801,0.3834695230265995,-0.206152272,0.004700499,0,FALSE
-0.009378421,0.068448696,0.056584127,0.2319678453067198,-0.208036994,0.004573503,0,FALSE
0.02169007,-0.020889997,0.4062968804309699,0.2512697000348218,0.5340552871790788,0.004693817,0,FALSE
0.004923746,-1.607198366,-0.125040014,0.9682970394104334,1.031263489798531,0.00474074,1,FALSE
0.014948091,0.2153184293371071,0.2179120781370463,1.449063752688441,0.6103445345676225,0.004625383,1,FALSE
0.012281876,0.152980989,0.2661646454256208,1.3053312205545446,0.5946344133265488,0.00475032,1,FALSE
0.016669299,-0.417299306,0.045609887,1.3808325234454843,0.6203862783846071,0.004733443,1,FALSE
-0.015452793,0.4580653217139125,0.527075064,1.2369010744270963,0.5232439771506446,0.003818147,0,FALSE
0.010244977,0.1435173315207272,0.8391449445491511,1.0137876229806684,0.4361532859671469,0.005507249,0,FALSE
0.014384898,0.076892095,-0.068114104,1.0570083320983732,0.432316588,0.004731473,1,FALSE
0.011595245,0.004518161,0.1443401692217747,1.1124582593969088,0.4316388052807147,0.004678105,1,FALSE
0.019229179,0.1809177617386348,0.1596747517813992,1.0117385118772473,0.408754122,0.004903475,1,FALSE
0.027086967,0.047609667,0.061687763,0.4932649522192536,-0.21134526,0.004857146,1,FALSE
0.045075865,0.050900932,0.060726689,1.0751376691275003,-0.210468613,0.004864431,1,FALSE
-0.005182736,0.060662871,0.059117008,0.9973003559289936,-0.211089824,0.003577651,1,FALSE
0.004558143,0.060110372,0.068050739,0.8188989204806888,-0.211678177,0.005083315,1,FALSE
